Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MatchPlayed,GamesStarted,MinutesPlayed,MinutesDividedBy90,Goals,Assists,NonPenalityGoals,PenalityKicksScored,PenalityKicksAttempted,YellowCards,RedCards,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAndAssistsPer90Minutes,NonPenalityGoalsPer90Minutes,NonPenalityGoalsAndAssistsPer90Minutes,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedAssists,ExpectedNonPenalityGoalsAndAssists,ExpectedGoalsPer90Minutes,ExpectedAssistsPer90Minutes,ExpectedGoalsAndAssistsPer90Minutes,ExpectedNonPenalityGoalsPer90Minutes,ExpectedNonPenalityGoalsAndAssistsPer90Minutes
192,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34,1986,34,21,1743,19.4,5,1,3,2,3,8,2,0.26,0.05,0.31,0.15,0.21,6.4,4.1,1.3,5.4,0.33,0.07,0.40,0.21,0.28
193,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,31,1989,8,5,504,5.6,1,0,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,0.1,0.1,0.2,0.4,0.02,0.04,0.07,0.02,0.07
194,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27,1993,37,33,2718,30.2,3,5,2,1,1,2,0,0.10,0.17,0.26,0.07,0.23,3.4,2.7,5.1,7.8,0.11,0.17,0.28,0.09,0.26
195,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,21,1999,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
196,Unai García\Unai-Garcia,es ESP,DF,Osasuna,28,1992,17,13,1242,13.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.04,0.02,0.05,0.04,0.05
197,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,29,1990,24,21,1851,20.6,0,2,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.8,0.8,1.7,2.5,0.04,0.08,0.12,0.04,0.12
198,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,28,1992,8,8,720,8.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
199,David Gil\David-Gil,es ESP,GK,Cádiz,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
200,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,29,1991,11,3,407,4.5,2,1,2,0,0,0,0,0.44,0.22,0.66,0.44,0.66,1.4,1.4,0.0,1.4,0.31,0.01,0.32,0.31,0.32
201,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22,1998,34,17,1666,18.5,2,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,3.1,3.1,1.1,4.2,0.17,0.06,0.22,0.17,0.22
202,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,30,1989,13,4,424,4.7,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.2,0.2,0.7,0.9,0.04,0.14,0.18,0.04,0.18
203,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,23,1996,31,31,2689,29.9,7,1,7,0,0,7,1,0.23,0.03,0.27,0.23,0.27,6.8,6.8,0.9,7.8,0.23,0.03,0.26,0.23,0.26
204,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26,1994,35,29,2563,28.5,4,0,3,1,1,1,0,0.14,0.00,0.14,0.11,0.11,4.2,3.5,2.5,6.0,0.15,0.09,0.24,0.12,0.21
205,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,32,1988,18,11,914,10.2,3,1,3,0,0,0,0,0.30,0.10,0.39,0.30,0.39,1.2,1.2,1.1,2.3,0.12,0.11,0.22,0.12,0.22
206,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,28,1992,9,9,719,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
207,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,19,2000,29,4,792,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,1.2,1.8,0.07,0.14,0.21,0.07,0.21
208,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,31,1989,25,18,1480,16.4,0,1,0,0,0,7,1,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.6,0.7,0.01,0.03,0.04,0.01,0.04
209,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30,1990,27,25,2263,25.1,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,0.3,0.3,0.0,0.3,0.01,0.00,0.01,0.01,0.01
210,Diego González\Diego-Gonzalez,es ESP,DF,Elche,25,1995,19,15,1280,14.2,1,0,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.1,0.6,0.04,0.00,0.04,0.04,0.04
211,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,23,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
212,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,19,2001,2,1,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07
213,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,23,1996,32,28,2382,26.5,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,2.4,3.0,0.02,0.09,0.11,0.02,0.11
214,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,29,1991,36,32,2604,28.9,13,7,12,1,2,4,0,0.45,0.24,0.69,0.41,0.66,13.9,12.4,5.6,18.0,0.48,0.19,0.67,0.43,0.62
215,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,33,1986,24,17,1318,14.6,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.5,0.9,0.02,0.04,0.06,0.02,0.06
216,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29,1991,29,19,1795,19.9,1,2,0,1,2,5,0,0.05,0.10,0.15,0.00,0.10,5.0,3.5,1.6,5.1,0.25,0.08,0.33,0.18,0.25
217,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MFDF,Sevilla,28,1991,30,10,1041,11.6,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02
218,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,23,1996,31,27,2287,25.4,5,5,5,0,0,3,1,0.20,0.20,0.39,0.20,0.39,3.4,3.4,3.6,7.1,0.14,0.14,0.28,0.14,0.28
219,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23,1997,31,25,2081,23.1,1,1,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,0.8,1.3,0.02,0.03,0.06,0.02,0.06
220,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,28,1992,10,1,208,2.3,1,0,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,1.1,1.1,0.0,1.1,0.48,0.01,0.49,0.48,0.49
221,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,20,2000,25,21,1988,22.1,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.0,0.5,0.02,0.00,0.02,0.02,0.02
222,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,25,1995,17,8,831,9.2,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,0.7,1.5,0.08,0.08,0.16,0.08,0.16
223,Raúl Guti\Raul-Guti,es ESP,MF,Elche,23,1996,36,33,2862,31.8,3,1,3,0,0,4,1,0.09,0.03,0.13,0.09,0.13,1.5,1.5,0.6,2.1,0.05,0.02,0.07,0.05,0.07
224,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,29,1991,24,22,1825,20.3,2,0,2,0,0,2,1,0.10,0.00,0.10,0.10,0.10,1.5,1.5,0.1,1.5,0.07,0.00,0.08,0.07,0.08
225,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19,2001,6,3,316,3.5,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06
226,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,24,1995,24,9,845,9.4,4,2,4,0,0,2,0,0.43,0.21,0.64,0.43,0.64,3.5,3.5,1.6,5.1,0.37,0.17,0.55,0.37,0.55
227,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,29,1991,14,7,532,5.9,3,2,3,0,0,0,0,0.51,0.34,0.85,0.51,0.85,1.6,1.6,0.8,2.4,0.27,0.14,0.40,0.27,0.40
228,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25,1995,31,30,2578,28.6,1,1,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,1.2,1.2,0.4,1.6,0.04,0.02,0.06,0.04,0.06
229,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,31,1989,24,24,2026,22.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.00,0.02,0.03,0.00,0.03
230,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,30,1990,16,8,682,7.6,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.3,0.6,0.03,0.04,0.08,0.03,0.08
231,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27,1993,33,32,2958,32.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
232,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,22,1998,32,25,2310,25.7,3,1,3,0,0,7,0,0.12,0.04,0.16,0.12,0.16,1.9,1.9,1.1,3.0,0.07,0.04,0.12,0.07,0.12
233,Pablo Hervías\Pablo-Hervias,es ESP,DFMF,Valladolid,27,1993,27,10,1204,13.4,0,5,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.5,0.5,3.4,3.8,0.04,0.25,0.29,0.04,0.29
234,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,20,1999,5,0,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.02,0.07,0.05,0.07
235,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,32,1988,13,10,928,10.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.02,0.02,0.03,0.02,0.03
236,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,24,1996,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.96,0.00,0.96,0.96,0.96
237,Iglesias\Iglesias,es ESP,DFMF,Getafe,22,1998,10,7,605,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.05,0.06,0.02,0.06
238,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,27,1993,28,15,1411,15.7,11,0,6,5,5,2,0,0.70,0.00,0.70,0.38,0.38,7.7,3.9,0.5,4.4,0.49,0.03,0.52,0.25,0.28
239,Ilaix\Ilaix,es ESP,MF,Barcelona,17,2003,14,4,542,6.0,1,2,1,0,0,1,0,0.17,0.33,0.50,0.17,0.50,1.2,1.2,0.8,2.0,0.19,0.14,0.33,0.19,0.33
240,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,30,1990,6,6,337,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
241,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,26,1993,20,17,1587,17.6,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01
242,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32,1988,28,22,1819,20.2,1,0,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,2.4,2.4,1.9,4.3,0.12,0.09,0.21,0.12,0.21
243,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,20,1999,34,30,2340,26.0,17,2,17,0,1,4,0,0.65,0.08,0.73,0.65,0.73,15.5,14.7,2.3,17.0,0.60,0.09,0.68,0.57,0.66
244,Isco\Isco,es ESP,MFFW,Real Madrid,28,1992,25,8,908,10.1,0,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,1.8,1.8,1.7,3.5,0.18,0.17,0.35,0.18,0.35
245,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,26,1993,30,11,1277,14.2,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.8,0.8,0.9,1.8,0.06,0.07,0.12,0.06,0.12
246,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,24,1995,19,14,1220,13.6,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06
247,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,25,1995,27,12,1014,11.3,4,5,1,3,3,2,0,0.36,0.44,0.80,0.09,0.53,5.1,2.8,4.4,7.2,0.45,0.39,0.85,0.25,0.64
248,Jason\Jason,es ESP,MFDF,Valencia,26,1994,17,4,441,4.9,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.03,0.12,0.16,0.03,0.16
249,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,22,1997,27,18,1666,18.5,5,1,5,0,0,6,0,0.27,0.05,0.32,0.27,0.32,6.7,6.7,1.4,8.0,0.36,0.07,0.43,0.36,0.43
250,Joaquín\Joaquin,es ESP,FWMF,Betis,39,1981,27,16,1291,14.3,2,6,2,0,0,2,0,0.14,0.42,0.56,0.14,0.56,1.0,1.0,2.5,3.5,0.07,0.18,0.24,0.07,0.24
251,John Joe\John-Joe,ie IRL,MFDF,Getafe,16,2003,6,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.00,0.18,0.18,0.18
252,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,23,1997,37,35,3154,35.0,3,4,3,0,0,5,0,0.09,0.11,0.20,0.09,0.20,5.5,5.5,5.5,11.0,0.16,0.16,0.31,0.16,0.31
253,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,29,1990,34,14,1268,14.1,4,0,4,0,0,3,0,0.28,0.00,0.28,0.28,0.28,3.8,3.8,1.1,4.9,0.27,0.08,0.35,0.27,0.35
254,Jony\Jony,es ESP,MFFW,Osasuna,29,1991,22,9,871,9.7,0,2,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.7,0.7,2.3,3.0,0.07,0.24,0.31,0.07,0.31
255,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,26,1994,35,28,2406,26.7,1,6,1,0,0,8,1,0.04,0.22,0.26,0.04,0.26,1.5,1.5,2.8,4.3,0.05,0.11,0.16,0.05,0.16
256,Josan\Josan,es ESP,MFDF,Elche,30,1989,33,24,1926,21.4,4,2,4,0,0,3,0,0.19,0.09,0.28,0.19,0.28,1.7,1.7,1.6,3.3,0.08,0.07,0.15,0.08,0.15
257,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,28,1991,13,8,689,7.7,3,1,3,0,1,0,0,0.39,0.13,0.52,0.39,0.52,4.3,3.5,0.9,4.4,0.56,0.11,0.67,0.46,0.58
258,Joselu\Joselu,es ESP,FW,Alavés,30,1990,37,34,3026,33.6,11,3,9,2,4,1,0,0.33,0.09,0.42,0.27,0.36,13.7,10.6,3.0,13.6,0.41,0.09,0.50,0.32,0.41
259,Josema\Josema,es ESP,DF,Elche,24,1996,29,21,1966,21.8,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.6,0.8,0.01,0.03,0.04,0.01,0.04
260,Jota\Jota,es ESP,MF,Alavés,29,1991,23,18,1398,15.5,0,2,0,0,0,5,1,0.00,0.13,0.13,0.00,0.13,0.9,0.9,1.9,2.8,0.06,0.12,0.18,0.06,0.18
261,Jota\Jota,pt POR,FW,Valladolid,21,1999,17,7,668,7.4,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,,,,,,,,,
262,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,22,1997,4,2,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.67,0.08,0.75,0.67,0.75
263,Juanmi\Juanmi,es ESP,FWMF,Betis,27,1993,16,5,604,6.7,2,0,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,3.0,3.0,0.1,3.1,0.45,0.01,0.46,0.45,0.46
264,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,20,2000,35,22,1969,21.9,3,3,3,0,0,3,0,0.14,0.14,0.27,0.14,0.27,6.5,6.5,3.1,9.6,0.30,0.14,0.44,0.30,0.44
265,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,27,1993,35,33,2615,29.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.7,2.5,0.03,0.06,0.09,0.03,0.09
266,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,28,1992,6,2,195,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06
267,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,19,2001,24,15,1262,14.0,0,4,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,1.2,1.2,2.5,3.8,0.09,0.18,0.27,0.09,0.27
268,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,18,2001,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
269,Kenedy\Kenedy,br BRA,FWMF,Granada,24,1996,28,18,1471,16.3,4,3,4,0,0,3,0,0.24,0.18,0.43,0.24,0.43,2.1,2.1,2.6,4.7,0.13,0.16,0.29,0.13,0.29
270,Kike\Kike,es ESP,FW,Eibar,30,1989,37,36,3087,34.3,12,2,12,0,0,4,1,0.35,0.06,0.41,0.35,0.41,10.7,10.7,2.1,12.8,0.31,0.06,0.37,0.31,0.37
271,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,21,1999,3,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.15,0.18,0.03,0.18
272,Kenan Kodro\Kenan-Kodro,ba BIH,FW,Valladolid,26,1993,14,4,459,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.21,0.03,0.24,0.21,0.24
273,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,26,1993,3,0,44,0.5,1,0,0,1,1,1,0,2.05,0.00,2.05,0.00,0.00,0.8,0.0,0.0,0.0,1.60,0.00,1.60,0.04,0.04
274,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,18,2001,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
275,Koke\Koke,es ESP,MF,Atlético Madrid,28,1992,37,34,3021,33.6,1,2,1,0,0,9,0,0.03,0.06,0.09,0.03,0.09,1.9,1.9,2.6,4.5,0.06,0.08,0.13,0.06,0.13
276,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,27,1993,5,5,440,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
277,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFFW,Atlético Madrid,27,1993,25,4,611,6.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.02,0.04,0.07,0.02,0.07
278,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,25,1995,3,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
279,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,21,1998,34,33,2975,33.1,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.7,2.8,0.06,0.02,0.08,0.06,0.08
280,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,30,1990,28,24,2117,23.5,3,10,3,0,0,6,0,0.13,0.43,0.55,0.13,0.55,2.2,2.2,6.7,8.9,0.09,0.28,0.38,0.09,0.38
281,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,19,2001,13,2,299,3.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.5,1.9,0.41,0.16,0.57,0.41,0.57
282,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,19,2001,18,8,805,8.9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,0.8,1.7,0.10,0.09,0.19,0.10,0.19
283,Kuki\Kuki,es ESP,MF,Valladolid,22,1998,2,0,30,0.3,0,1,0,0,0,0,0,0.00,3.00,3.00,0.00,3.00,0.0,0.0,0.1,0.1,0.00,0.16,0.16,0.00,0.16
284,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,30,1989,32,30,2631,29.2,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.0,2.1,0.04,0.03,0.07,0.04,0.07
285,Diego Lainez\Diego-Lainez,mx MEX,FW,Betis,20,2000,21,8,862,9.6,0,2,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21,0.9,0.9,0.9,1.8,0.10,0.09,0.19,0.10,0.19
286,Toni Lato\Toni-Lato,es ESP,DF,Valencia,22,1997,15,8,728,8.1,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,1.0,1.0,0.3,1.3,0.12,0.04,0.16,0.12,0.16
287,Lauti\Lauti,uy URU,MFFW,Celta Vigo,19,2001,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
288,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,23,1996,33,30,2747,30.5,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,2.0,2.0,0.1,2.1,0.07,0.00,0.07,0.07,0.07
