Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MatchPlayed,GamesStarted,MinutesPlayed,MinutesDividedBy90,Goals,Assists,NonPenalityGoals,PenalityKicksScored,PenalityKicksAttempted,YellowCards,RedCards,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAndAssistsPer90Minutes,NonPenalityGoalsPer90Minutes,NonPenalityGoalsAndAssistsPer90Minutes,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedAssists,ExpectedNonPenalityGoalsAndAssists,ExpectedGoalsPer90Minutes,ExpectedAssistsPer90Minutes,ExpectedGoalsAndAssistsPer90Minutes,ExpectedNonPenalityGoalsPer90Minutes,ExpectedNonPenalityGoalsAndAssistsPer90Minutes
289,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,27,1993,32,32,2880,32.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
290,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,29,1991,34,34,3015,33.5,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,2.2,2.2,0.3,2.5,0.06,0.01,0.07,0.06,0.07
291,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,27,1993,18,5,644,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.06,0.07,0.01,0.07
292,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,24,1995,27,19,1366,15.2,1,3,1,0,0,4,0,0.07,0.20,0.26,0.07,0.26,1.3,1.3,2.0,3.3,0.09,0.13,0.22,0.09,0.22
293,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,25,1995,33,29,2475,27.5,1,0,1,0,0,11,2,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.9,2.3,0.05,0.03,0.08,0.05,0.08
294,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,33,1986,24,10,935,10.4,1,2,1,0,0,2,0,0.10,0.19,0.29,0.10,0.29,1.3,1.3,2.3,3.5,0.12,0.22,0.34,0.12,0.34
295,Sergio León\Sergio-Leon,es ESP,FW,Levante,31,1989,28,6,748,8.3,2,0,2,0,0,0,0,0.24,0.00,0.24,0.24,0.24,2.3,2.3,0.3,2.7,0.28,0.04,0.32,0.28,0.32
296,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,26,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
297,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,25,1995,37,33,2956,32.8,12,11,12,0,0,6,0,0.37,0.33,0.70,0.37,0.70,4.3,4.3,5.2,9.5,0.13,0.16,0.29,0.13,0.29
298,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,22,1998,23,11,1129,12.5,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,0.7,0.7,1.1,1.9,0.06,0.09,0.15,0.06,0.15
299,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,36,1983,22,10,1067,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.8,0.8,0.01,0.06,0.07,0.01,0.07
300,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,32,1988,17,5,481,5.3,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,1.3,1.3,0.8,2.1,0.24,0.15,0.39,0.24,0.39
301,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,18,2002,9,1,248,2.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07
302,Roberto López\Roberto-Lopez,es ESP,MFFW,Real Sociedad,20,2000,17,4,505,5.6,3,0,3,0,0,0,0,0.53,0.00,0.53,0.53,0.53,1.0,1.0,1.7,2.7,0.17,0.30,0.47,0.17,0.47
303,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,24,1995,26,15,1424,15.8,3,0,3,0,0,7,0,0.19,0.00,0.19,0.19,0.19,1.2,1.2,1.2,2.4,0.08,0.08,0.15,0.08,0.15
304,Anthony Lozano\Anthony-Lozano,hn HON,FWMF,Cádiz,27,1993,29,18,1523,16.9,3,1,3,0,0,5,0,0.18,0.06,0.24,0.18,0.24,5.4,5.4,1.0,6.3,0.32,0.06,0.37,0.32,0.37
305,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,25,1995,2,1,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
306,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,25,1995,33,32,2846,31.6,1,7,1,0,0,6,0,0.03,0.22,0.25,0.03,0.25,1.9,1.9,4.7,6.6,0.06,0.15,0.21,0.06,0.21
307,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,33,1987,38,30,2439,27.1,13,3,13,0,1,3,0,0.48,0.11,0.59,0.48,0.59,8.3,7.5,3.6,11.1,0.31,0.13,0.44,0.28,0.41
308,Luisinho\Luisinho,pt POR,DF,Huesca,35,1985,5,2,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
309,Luismi\Luismi,es ESP,MFDF,Elche,28,1992,11,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
310,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,27,1993,32,21,2026,22.5,4,5,4,0,1,1,0,0.18,0.22,0.40,0.18,0.40,4.8,4.0,4.2,8.2,0.21,0.19,0.40,0.18,0.36
311,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,23,1997,25,25,1964,21.8,1,4,1,0,0,4,0,0.05,0.18,0.23,0.05,0.23,0.7,0.7,2.0,2.6,0.03,0.09,0.12,0.03,0.12
312,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,20,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
313,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,25,1995,35,34,2728,30.3,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,1.8,1.8,1.1,3.0,0.06,0.04,0.10,0.06,0.10
314,Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,27,1992,28,8,860,9.6,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06
315,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,29,1991,31,30,2602,28.9,3,1,3,0,0,8,0,0.10,0.03,0.14,0.10,0.14,1.5,1.5,2.3,3.8,0.05,0.08,0.13,0.05,0.13
316,Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,24,1995,35,25,2338,26.0,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.6,1.6,0.4,2.0,0.06,0.02,0.08,0.06,0.08
317,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,28,1991,28,27,2392,26.6,3,1,3,0,0,6,2,0.11,0.04,0.15,0.11,0.15,2.3,2.3,0.1,2.4,0.09,0.01,0.09,0.09,0.09
318,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,29,1991,7,4,321,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.15,0.00,0.15,0.15,0.15
319,Maranhão\Maranhao,br BRA,FW,Valladolid,23,1996,23,11,1177,13.1,4,1,4,0,0,3,0,0.31,0.08,0.38,0.31,0.38,3.8,3.8,0.6,4.4,0.29,0.05,0.33,0.29,0.33
320,Marcelo\Marcelo,br BRA,DF,Real Madrid,32,1988,16,12,1050,11.7,0,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.2,1.6,0.04,0.10,0.13,0.04,0.13
321,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,30,1990,33,30,2645,29.4,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.00,0.02,0.02,0.00,0.02
322,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,31,1989,25,17,1520,16.9,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,1.3,1.3,1.8,3.1,0.08,0.11,0.19,0.08,0.19
323,José Mari\Jose-Mari,es ESP,MF,Cádiz,32,1987,22,18,1451,16.1,1,0,0,1,1,5,0,0.06,0.00,0.06,0.00,0.00,1.2,0.4,0.4,0.8,0.07,0.03,0.10,0.02,0.05
324,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,25,1995,21,20,1765,19.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.05,0.01,0.06,0.05,0.06
325,Mariano\Mariano,do DOM,FW,Real Madrid,26,1993,16,5,513,5.7,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,1.5,1.5,0.2,1.6,0.26,0.03,0.28,0.26,0.28
326,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,23,1997,5,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.07,0.52,0.58,0.07,0.58
327,Adrián Marín\Adrian-Marin,es ESP,DFFW,Granada,23,1997,9,3,269,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07
328,Roger Martí\Roger-Marti,es ESP,FW,Levante,29,1991,33,26,2198,24.4,12,4,10,2,4,4,0,0.49,0.16,0.66,0.41,0.57,9.3,6.3,2.5,8.8,0.38,0.10,0.48,0.26,0.36
329,Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,23,1997,19,17,1540,17.1,0,3,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,1.2,1.4,0.01,0.07,0.08,0.01,0.08
330,Álex Martín\Alex-Martin,es ESP,DF,Cádiz,22,1998,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
331,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,29,1991,28,28,2519,28.0,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.6,2.0,0.05,0.02,0.07,0.05,0.07
332,Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,20,1999,13,6,460,5.1,1,1,1,0,0,1,0,0.20,0.20,0.39,0.20,0.39,0.6,0.6,0.5,1.1,0.11,0.10,0.21,0.11,0.21
333,Marvin\Marvin,es ESP,DFFW,Real Madrid,20,2000,4,2,133,1.5,0,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,0.2,0.2,0.2,0.4,0.11,0.13,0.24,0.11,0.24
334,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,31,1989,25,25,2250,25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
335,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,31,1988,33,23,2037,22.6,5,0,4,1,2,9,1,0.22,0.00,0.22,0.18,0.18,6.6,5.1,1.2,6.3,0.29,0.05,0.34,0.23,0.28
336,Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,23,1997,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
337,Gonzalo Melero\Gonzalo-Melero,es ESP,MFFW,Levante,26,1994,29,21,1853,20.6,7,1,7,0,0,4,0,0.34,0.05,0.39,0.34,0.39,3.1,3.1,1.7,4.8,0.15,0.08,0.23,0.15,0.23
338,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,23,1997,34,30,2671,29.7,9,0,8,1,1,8,0,0.30,0.00,0.30,0.27,0.27,7.5,6.7,2.0,8.7,0.25,0.07,0.32,0.23,0.29
339,Édgar Méndez\Edgar-Mendez,es ESP,MFFW,Alavés,30,1990,33,26,2090,23.2,5,1,5,0,0,12,1,0.22,0.04,0.26,0.22,0.26,5.4,5.4,1.4,6.9,0.23,0.06,0.30,0.23,0.30
340,Eñaut Mendía\Enaut-Mendia,es ESP,FW,Eibar,21,1999,1,1,61,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
341,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Real Madrid,25,1995,26,24,2208,24.5,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.6,0.6,1.7,2.3,0.02,0.07,0.09,0.02,0.09
342,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,24,1996,26,25,2154,23.9,2,4,2,0,0,5,0,0.08,0.17,0.25,0.08,0.25,3.7,3.7,2.1,5.8,0.16,0.09,0.24,0.16,0.24
343,Martín Merquelanz\Martin-Merquelanz,es ESP,FWMF,Real Sociedad,25,1995,13,4,549,6.1,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,1.1,1.1,1.8,2.9,0.19,0.29,0.47,0.19,0.47
344,Roque Mesa\Roque-Mesa,es ESP,MF,Valladolid,31,1989,25,21,1761,19.6,1,0,0,1,1,4,1,0.05,0.00,0.05,0.00,0.00,1.7,0.9,1.1,2.0,0.08,0.06,0.14,0.05,0.10
345,Lionel Messi\Lionel-Messi,ar ARG,FWMF,Barcelona,33,1987,35,33,3023,33.6,30,9,27,3,5,4,0,0.89,0.27,1.16,0.80,1.07,23.6,19.5,10.8,30.3,0.70,0.32,1.03,0.58,0.90
346,Omenuke Mfulu\Omenuke-Mfulu,cd COD,MF,Elche,26,1994,20,9,789,8.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
347,Míchel\Michel,es ESP,MF,Valladolid,32,1988,22,10,946,10.5,2,0,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.6,0.6,0.8,1.3,0.05,0.07,0.13,0.05,0.13
348,Éder Militão\Eder-Militao,br BRA,DF,Real Madrid,22,1998,14,13,1133,12.6,1,0,1,0,0,3,1,0.08,0.00,0.08,0.08,0.08,1.1,1.1,0.0,1.1,0.09,0.00,0.09,0.09,0.09
349,Luis Milla\Luis-Milla,es ESP,MF,Granada,25,1994,16,14,1253,13.9,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,2.1,2.6,0.04,0.15,0.19,0.04,0.19
350,Pere Milla\Pere-Milla,es ESP,FWMF,Elche,27,1992,32,22,1981,22.0,4,3,4,0,0,6,0,0.18,0.14,0.32,0.18,0.32,5.6,5.6,1.7,7.3,0.26,0.08,0.33,0.26,0.33
351,Alejandro Millán\Alejandro-Millan,es ESP,FW,Villarreal,20,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
352,Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,24,1995,34,29,2412,26.8,12,3,11,1,1,4,0,0.45,0.11,0.56,0.41,0.52,8.8,8.0,1.5,9.5,0.33,0.05,0.38,0.30,0.35
353,Óscar Mingueza\Oscar-Mingueza,es ESP,DF,Barcelona,21,1999,27,23,1901,21.1,2,2,2,0,0,4,0,0.09,0.09,0.19,0.09,0.19,1.0,1.0,1.0,2.0,0.05,0.05,0.09,0.05,0.09
354,Rafa Mir\Rafa-Mir,es ESP,FW,Huesca,23,1997,38,32,2877,32.0,13,1,11,2,3,2,0,0.41,0.03,0.44,0.34,0.38,13.6,11.4,1.8,13.2,0.43,0.06,0.48,0.36,0.41
355,Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,31,1989,26,19,1732,19.2,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.7,0.7,1.3,2.0,0.04,0.07,0.10,0.04,0.10
356,Juan Miranda\Juan-Miranda,es ESP,DF,Betis,20,2000,22,18,1652,18.4,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.6,0.6,1.3,1.9,0.03,0.07,0.10,0.03,0.10
357,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,34,1985,35,32,2733,30.4,5,3,5,0,0,4,0,0.16,0.10,0.26,0.16,0.26,2.8,2.8,4.1,6.9,0.09,0.14,0.23,0.09,0.23
358,Johan Mojica\Johan-Mojica,co COL,DF,Elche,27,1992,17,14,1204,13.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.06,0.07,0.01,0.07
359,Guillem Molina\Guillem-Molina,es ESP,DF,Valencia,20,2000,2,1,153,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
360,Jorge Molina\Jorge-Molina,es ESP,FWMF,Granada,38,1982,33,17,1615,17.9,8,2,8,0,1,3,0,0.45,0.11,0.56,0.45,0.56,5.0,4.3,2.2,6.5,0.28,0.12,0.40,0.24,0.36
361,Victor Mollejo\Victor-Mollejo,es ESP,MFDF,Getafe,19,2001,4,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08
362,Jon Moncayola\Jon-Moncayola,es ESP,MF,Osasuna,22,1998,36,28,2660,29.6,2,0,2,0,0,7,1,0.07,0.00,0.07,0.07,0.07,1.5,1.5,1.3,2.7,0.05,0.04,0.09,0.05,0.09
363,Nacho Monreal\Nacho-Monreal,es ESP,DF,Real Sociedad,34,1986,26,23,2082,23.1,1,1,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,0.8,0.8,1.2,2.0,0.03,0.05,0.08,0.03,0.08
364,Ángel Montoro\Angel-Montoro,es ESP,MF,Granada,32,1988,22,17,1362,15.1,1,1,0,1,1,6,0,0.07,0.07,0.13,0.00,0.07,1.4,0.7,1.6,2.3,0.09,0.11,0.20,0.04,0.15
365,Martín Montoya\Martin-Montoya,es ESP,DF,Betis,29,1991,5,2,239,2.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.02,0.13,0.15,0.02,0.15
366,Emre Mor\Emre-Mor,tr TUR,FWMF,Celta Vigo,23,1997,11,6,500,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.06,0.03,0.10,0.06,0.10
367,Jon Morcillo\Jon-Morcillo,es ESP,MFFW,Athletic Club,21,1998,30,16,1363,15.1,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,1.5,1.5,2.9,4.4,0.10,0.19,0.29,0.10,0.29
368,Alberto Moreno\Alberto-Moreno,es ESP,DF,Villarreal,28,1992,5,2,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.12,0.00,0.12,0.12,0.12
369,Álex Moreno\Alex-Moreno,es ESP,DF,Betis,27,1993,23,20,1786,19.8,0,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,2.1,2.8,0.04,0.10,0.14,0.04,0.14
370,Gerard Moreno\Gerard-Moreno,es ESP,FWMF,Villarreal,28,1992,33,30,2673,29.7,23,7,13,10,10,3,0,0.77,0.24,1.01,0.44,0.67,19.1,11.6,7.6,19.2,0.64,0.25,0.90,0.39,0.65
371,Tete Morente\Tete-Morente,es ESP,MFFW,Elche,23,1996,30,23,2019,22.4,2,5,2,0,0,5,0,0.09,0.22,0.31,0.09,0.31,2.4,2.4,2.4,4.8,0.11,0.11,0.21,0.11,0.21
372,Loren Morón\Loren-Moron,es ESP,FWMF,Betis,26,1993,26,9,991,11.0,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,2.4,2.4,0.4,2.8,0.22,0.03,0.25,0.22,0.25
373,Pedro Mosquera\Pedro-Mosquera,es ESP,MF,Huesca,32,1988,27,24,2050,22.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.01,0.03,0.04,0.01,0.04
374,Javi Moyano\Javi-Moyano,es ESP,DF,Valladolid,34,1986,2,2,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
375,Iker Muniain\Iker-Muniain,es ESP,MFFW,Athletic Club,27,1992,28,23,1943,21.6,5,3,5,0,0,1,0,0.23,0.14,0.37,0.23,0.37,3.9,3.9,3.0,6.9,0.18,0.14,0.32,0.18,0.32
376,Aihen Muñoz\Aihen-Munoz,es ESP,DF,Real Sociedad,22,1997,16,14,1210,13.4,0,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07
377,Joaquín Muñoz\Joaquin-Munoz,es ESP,FW,Huesca,21,1999,3,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07
378,Jeison Murillo\Jeison-Murillo,co COL,DF,Celta Vigo,28,1992,31,31,2699,30.0,2,0,2,0,0,11,1,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.2,0.6,0.02,0.01,0.02,0.02,0.02
379,Yunus Musah\Yunus-Musah,us USA,MF,Valencia,17,2002,32,17,1530,17.0,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.8,1.5,0.04,0.04,0.09,0.04,0.09
380,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Eibar,28,1992,26,13,1122,12.5,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,2.0,2.0,1.1,3.1,0.16,0.09,0.25,0.16,0.25
381,Nacho\Nacho,es ESP,DF,Real Madrid,30,1990,24,22,2000,22.2,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.4,1.9,0.07,0.02,0.09,0.07,0.09
382,Nacho\Nacho,es ESP,DF,Valladolid,31,1989,23,21,1813,20.1,0,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,1.6,1.9,0.02,0.08,0.09,0.02,0.09
383,Nano\Nano,es ESP,FWMF,Cádiz,25,1995,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
384,Roberto Navarro\Roberto-Navarro,es ESP,MF,Real Sociedad,18,2002,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07
385,Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,30,1990,31,28,2375,26.4,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.0,1.3,0.01,0.04,0.05,0.01,0.05
